model,regime,n_obs_mean,rmse_mean,rmse_std,mae_mean,mae_std,hit_ccy_mean,hit_ccy_std,hit_pair_mean,hit_pair_std,extreme_rmse_mean,extreme_rmse_std,extreme_hit_mean,extreme_hit_std
StaticGraph,VIX_top10,82.0,0.0070417161344853915,8.48679111055807e-05,0.005094576384246236,7.079894054233479e-05,0.6069105691056911,0.009251875346943945,0.5966740576496674,0.00872949875167608,0.01528629391467848,0.00026855041437206243,0.7682926829268292,0.017246506858208492
PureGraphFX,VIX_top10,82.0,0.0071709640015443915,0.00023825935979195127,0.005206153628994695,0.00018440590496375645,0.5861788617886178,0.027528460086726825,0.5886178861788617,0.019297119200966405,0.015285806608280023,0.00020212563586074846,0.7479674796747968,0.04024184933581981
Ours,VIX_top10,82.0,0.006820675841912566,4.8835148451677996e-05,0.004908341026078425,1.9074207518057365e-05,0.6357723577235772,0.004705624757231803,0.6137472283813746,0.0053613927814699525,0.015005581974267443,0.00031798962994812494,0.8170731707317073,0.01724650685820844
LSTM,all_test,1104.0,0.005621877000735023,3.615162504201368e-05,0.003958546070699288,2.9618983754181516e-05,0.6004227053140098,0.006475164703748884,0.5585529205094423,0.0015935774363420281,0.013297394897735515,2.56940707348904e-05,0.7352053140096618,0.022799392667455173
MLP,all_test,1104.0,0.005727524163503743,5.315334732719445e-05,0.004058191421811905,4.6533013856236216e-05,0.5882850241545894,0.0054117534091003535,0.5549626701800615,0.0031155756419483454,0.012994195130880237,8.548836294236281e-05,0.7285628019323672,0.002800005584388796
NoGraph,all_test,1104.0,0.0054448647653092645,7.93312421295341e-06,0.0038269163031129177,6.682420894908314e-06,0.616153381642512,0.00201368743967793,0.5807696530522617,0.00039003776171126804,0.012747541306372338,1.505521518424512e-05,0.7557367149758454,0.0048120100997914314
NoMacro,all_test,1104.0,0.005834381962865297,4.2809316665384205e-05,0.004090800086806636,3.399677108055473e-05,0.5710144927536233,0.01897264771740275,0.5378403601229688,0.0071127731926086,0.014019164491284562,0.00019424407466976502,0.6657608695652174,0.01411029160090326
StaticGraph,all_test,1104.0,0.005257357464660117,3.883848942050145e-05,0.0036953018698072,2.7036020741301932e-05,0.6354770531400966,0.00342556874485092,0.5998902064119456,0.003962194886350506,0.012016791558266883,0.00014887138259427342,0.7983091787439612,0.009538387076649354
PureGraphFX,all_test,1104.0,0.005344174350469387,6.636944857278478e-05,0.003759505061132586,5.067563626796566e-05,0.6331521739130435,0.009480484012942242,0.6020366710584102,0.004552814569629492,0.012181187619316318,0.00013110507809339662,0.7934782608695651,0.021139578579968957
Ours,all_test,1104.0,0.0050854291454209746,1.1980829455491283e-05,0.0035243734327100287,1.6339302626359438e-05,0.6578200483091788,0.001494488969899109,0.6195267896354852,0.0013395942629714245,0.011810398919206704,6.03302809349516e-05,0.8266908212560388,0.003079118063763773
