scenario,model,universe,lookback,rmse_mean,rmse_std,rmse_min,rmse_max,mae_mean,mae_std,mae_min,mae_max,hit_ratio_mean,hit_ratio_std,hit_ratio_min,hit_ratio_max,non_tiny_hit_ratio_mean,non_tiny_hit_ratio_std,non_tiny_hit_ratio_min,non_tiny_hit_ratio_max,extreme_hit_ratio_mean,extreme_hit_ratio_std,extreme_hit_ratio_min,extreme_hit_ratio_max,pairwise_hit_mean,pairwise_hit_std,pairwise_hit_min,pairwise_hit_max,ic_mean,ic_std,ic_min,ic_max,long_short_sharpe_mean,long_short_sharpe_std,long_short_sharpe_min,long_short_sharpe_max,long_short_sortino_mean,long_short_sortino_std,long_short_sortino_min,long_short_sortino_max,max_drawdown_mean,max_drawdown_std,max_drawdown_min,max_drawdown_max,cumulative_return_mean,cumulative_return_std,cumulative_return_min,cumulative_return_max,n_dates_mean,n_dates_std,n_dates_min,n_dates_max,n_currency_obs_mean,n_currency_obs_std,n_currency_obs_min,n_currency_obs_max
commodity_shock,mlp,core6,10,0.005914432709547214,2.029650120396104e-05,0.005891765477873417,0.005930923399875256,0.004234893043874216,1.2704242595257578e-05,0.004221499487776996,0.004246772222063893,0.49922624574435165,0.011857389510671926,0.48978644382544106,0.5125348189415042,0.5051067780872794,0.024141132776230277,0.4809656453110492,0.5292479108635098,0.5003866976024749,0.051114343826321164,0.46635730858468677,0.5591647331786543,0.4963788300835654,0.008564421584104137,0.48653667595171773,0.5021355617455896,0.0024759332213774615,0.017507893399500093,-0.017443234623990576,0.015426569726230667,0.4918016200803748,0.8233585866251867,-0.4406826539287784,1.1185871194941208,0.9884505224756577,1.4769703111189565,-0.6657587438221765,2.1749088496331557,-0.09290241023397054,0.028359065291307405,-0.12564296462551283,-0.07600425256168819,0.05067044146456586,0.08057249874296506,-0.04119804869742438,0.10933508089146926,359.0,0.0,359,359,2154.0,0.0,2154,2154
commodity_shock,oursmain,core6,10,0.005949347483353742,2.012827834550836e-05,0.005926923323690201,0.005965852519513715,0.004256948037718234,1.020965004304214e-05,0.004245237024193572,0.004263976606998202,0.5095945527700403,0.009786079699017267,0.5037140204271123,0.520891364902507,0.5091303002166513,0.01068117234709837,0.4986072423398329,0.5199628597957289,0.4980665119876257,0.026891475097778346,0.4733178654292343,0.5266821345707656,0.5049829774063758,0.0036688682173290324,0.5010213556174559,0.508263695450325,0.024207333974525402,0.006024401408129538,0.018277803864675417,0.03032232391563868,-0.02961658306679023,0.29217537217172357,-0.30445115941756085,0.27725841321080713,-0.038178279847211095,0.3968327099918032,-0.4089852438585976,0.3803621711272245,-0.1304211563486509,0.014609236837221595,-0.14599555198765302,-0.11702071959552995,-0.0033777982477355786,0.03201202986299097,-0.033780573380227,0.03003137622772556,359.0,0.0,359,359,2154.0,0.0,2154,2154
cross_section_dispersion,foundation_relational,core6,10,0.00992188116163576,1.2193092101895799e-05,0.009912490359159505,0.009935661226689587,0.00738805825299917,1.808592672694169e-05,0.007372678095319619,0.007407983069592016,0.5244444444444444,0.016694421334796327,0.5116666666666667,0.5433333333333333,0.5388888888888889,0.03203007845644348,0.51,0.5733333333333334,0.5527777777777778,0.06254627916220942,0.5166666666666667,0.625,0.5297777777777778,0.004073400617738546,0.5253333333333333,0.5333333333333333,0.08266666666666668,0.006110100926607803,0.076,0.08800000000000002,2.870957644448507,0.09341221773527905,2.769360028141663,2.9531297803310474,5.994021931066238,0.7756246729231341,5.163979550101308,6.700360590298297,-0.046582099266136844,0.011478750567648032,-0.058990440746129025,-0.03634227357542841,0.1560813442356448,0.01474978485364324,0.14484376197469828,0.17278362362230837,100.0,0.0,100,100,600.0,0.0,600,600
cross_section_dispersion,gnn,core6,10,0.00994350048499589,1.140447552576981e-05,0.00993166199504246,0.009954414695311302,0.007407667752356575,1.7103774846037645e-06,0.007406206013774105,0.007409548787452044,0.5105555555555555,0.012509255832441883,0.49833333333333335,0.5233333333333333,0.54,0.0351188458428424,0.5066666666666667,0.5766666666666667,0.5055555555555555,0.012729376930432931,0.49166666666666664,0.5166666666666667,0.5166666666666667,0.01729482902809712,0.5026666666666667,0.536,0.04361904761904761,0.04885742133031193,0.013714285714285712,0.1,0.7412771432571758,2.3603073719796464,-0.8871414199073231,3.448167229301027,1.6331404956212132,4.6432781554998845,-1.4828138045443986,6.969762062528918,-0.0711387812831769,0.040059496026903466,-0.11210670481159468,-0.032054143368441146,0.03798742093446587,0.12194081121918955,-0.04716541863126622,0.1776787565449922,100.0,0.0,100,100,600.0,0.0,600,600
cross_section_dispersion,gru,core6,10,0.009960013457793819,1.3660935653052535e-05,0.009948162480673955,0.00997495487220167,0.007424669315766752,1.174502225974288e-06,0.0074233141660389875,0.007425393068442645,0.48333333333333334,0.009279607271383357,0.47333333333333333,0.49166666666666664,0.5044444444444445,0.018954135676924413,0.48333333333333334,0.52,0.4666666666666666,0.03632415786283894,0.425,0.49166666666666664,0.4884444444444444,0.022903986390857656,0.462,0.502,-0.02038095238095239,0.051455019654247994,-0.07942857142857143,0.014857142857142852,-0.5551700461944828,2.177202163145498,-3.0669822533172413,0.7918888758491475,-0.5765189370528213,3.3430251586397945,-4.433654639217057,1.4850727563137933,-0.09106344731784095,0.038157141650003265,-0.13361731703298574,-0.05989492067237734,-0.02212712814131616,0.10174861927113948,-0.1395282137873437,0.040513001009458094,100.0,0.0,100,100,600.0,0.0,600,600
cross_section_dispersion,lstm,core6,10,0.009943753724362585,1.4515481242434033e-05,0.009932780464655008,0.009960212586179015,0.007413298579584888,5.063549255223264e-06,0.007409415338125503,0.007419025680189861,0.5155555555555557,0.004194352464039237,0.5116666666666667,0.52,0.5355555555555556,0.013471506281091226,0.52,0.5433333333333333,0.5444444444444444,0.04110735718596872,0.5166666666666667,0.5916666666666667,0.5075555555555556,0.025089469533680502,0.48133333333333334,0.5313333333333333,0.020190476190476193,0.056163996989380405,-0.0382857142857143,0.07371428571428573,0.7258238089456893,2.8984140828833946,-2.2808790584186367,3.502206112793279,1.051202854044848,5.361427204603944,-4.550508028538409,6.13471640842054,-0.0789000568014065,0.06777628689942625,-0.1545712287806964,-0.02377197636087658,0.04329729338314792,0.1474262676084402,-0.1059844685059943,0.1887952209526702,100.0,0.0,100,100,600.0,0.0,600,600
cross_section_dispersion,mlp,core6,10,0.009945117389054368,2.2605843191678244e-05,0.00992821264654043,0.009970794637867066,0.00742075343106674,1.8206166226069687e-05,0.0074081187824973915,0.007441622000325576,0.4955555555555555,0.02428610332710488,0.4683333333333333,0.515,0.5211111111111111,0.02143033502442879,0.49666666666666665,0.5366666666666666,0.5111111111111111,0.0393817968854384,0.4666666666666667,0.5416666666666666,0.49866666666666665,0.01266666666666666,0.486,0.5113333333333333,-0.0019047619047619022,0.027263391516955525,-0.031999999999999994,0.02114285714285714,0.9451227908551196,1.6329855498970953,-0.8735789328215642,2.285617290468987,2.4062279500346615,3.7148764421579785,-1.538300992541066,5.83822717338782,-0.07955397926646886,0.03857449316856648,-0.11674665372811432,-0.03973217977909371,0.05285654811814311,0.08705080211604405,-0.042592128078467795,0.12787566242514004,100.0,0.0,100,100,600.0,0.0,600,600
cross_section_dispersion,oursmain,core6,10,0.009924363796397538,2.4626542716013383e-05,0.009904919966310212,0.009952055678324728,0.0073568042065047246,3.286637885611293e-05,0.007320937721357647,0.007385479669123924,0.5544444444444444,0.02926570486903539,0.5266666666666666,0.585,0.56,0.021858128414340015,0.54,0.5833333333333334,0.5388888888888889,0.026787918780536,0.5083333333333333,0.5583333333333333,0.5062222222222222,0.014334625264773464,0.494,0.522,0.010857142857142862,0.04670008521602155,-0.037714285714285714,0.055428571428571445,-0.5209706099483219,1.990038195332787,-2.08424150497257,1.7192223785819618,-0.9762153597964415,3.3578870354648145,-3.566154099229024,2.817667441280059,-0.12197075726726325,0.05740919910142819,-0.16934401219987194,-0.05812635123584187,-0.031487188973187585,0.11326995618560932,-0.1231650526933663,0.09513825136491505,100.0,0.0,100,100,600.0,0.0,600,600
dollar_shock,foundation_relational,core6,10,0.006052377809900307,6.486834382603947e-06,0.006045099818648015,0.006057550478505288,0.0043969486209895796,4.412178219707241e-06,0.004392080166090667,0.004400683204857638,0.5066807313642756,0.008735765294518182,0.49841772151898733,0.5158227848101266,0.5291842475386779,0.012225976547618643,0.5210970464135021,0.5432489451476793,0.5517543859649123,0.028987213406768977,0.5236842105263158,0.5815789473684211,0.5067510548523207,0.004769052555045322,0.5012658227848101,0.509915611814346,0.03366721006222698,0.00828356999732003,0.025157611325009273,0.04170454547153098,1.4892893515098435,0.5755922567240856,1.1395794845891092,2.1536171675024685,2.8040522787876387,1.3126346413865495,1.8788694078345183,4.306373098882717,-0.047829962505147705,0.0173286259375252,-0.06296852925970597,-0.028929345387041394,0.13174790425637184,0.048780148286508056,0.10205097955758902,0.18804600308703812,316.0,0.0,316,316,1896.0,0.0,1896,1896
dollar_shock,gnn,core6,10,0.0060705307820749605,3.8110932587283964e-06,0.006067753375939499,0.006074875655502423,0.004405068197488325,2.4273004816270657e-06,0.004402366435848732,0.00440706495032348,0.4982419127988748,0.007721586236286131,0.4899789029535865,0.5052742616033755,0.5070323488045007,0.009454521561004708,0.5010548523206751,0.5179324894514767,0.5096491228070176,0.009241801537590112,0.5,0.5184210526315789,0.5026722925457102,0.007619315460355468,0.4940928270042194,0.5086497890295358,0.027634231067337228,0.01937010481487358,0.005281864765374694,0.039503054865664494,1.1460962287824943,0.674990876166365,0.4339890626567817,1.7765404473855273,2.046292602225472,1.3923413973892511,0.6888593254459375,3.471096193458227,-0.0486585031079206,0.018487926585847327,-0.06820624602551106,-0.03145376766406116,0.10155863222280459,0.06599185581832846,0.0368505066430771,0.16876336067798547,316.0,0.0,316,316,1896.0,0.0,1896,1896
dollar_shock,gru,core6,10,0.006079300525413137,1.572197256749127e-05,0.006069820576655027,0.006097448644707528,0.004417191797580852,1.163918038334052e-05,0.004407756330450188,0.00443019804669576,0.48980309423347396,0.0031791739310873942,0.4868143459915612,0.4931434599156118,0.5042194092827005,0.013467452884814015,0.49261603375527424,0.5189873417721519,0.49210526315789466,0.025103663195182754,0.4763157894736842,0.5210526315789473,0.49451476793248944,0.0013834258490088404,0.4930379746835443,0.4957805907172996,0.004523421384123595,0.009325573865268359,-0.005959573098985463,0.01189715874276274,0.42862319105242513,0.49493107403512765,-0.06687445249893377,0.9229857431268308,0.7902713009210505,0.9086926327682643,-0.09036648907530764,1.7246348426568168,-0.06137094941216977,0.01482063415484889,-0.07847797081103636,-0.05241301208661753,0.038794226083912996,0.04472239268520742,-0.0056348579137193155,0.08380426717440059,316.0,0.0,316,316,1896.0,0.0,1896,1896
dollar_shock,lstm,core6,10,0.006068185129247953,1.3408138215587773e-05,0.006060202018453002,0.00608366496680313,0.004406417647702557,9.092809167381549e-06,0.004400922063072855,0.004416913219746966,0.49683544303797467,0.016006319520562747,0.47837552742616035,0.5068565400843882,0.5158227848101266,0.017745362701751827,0.4957805907172996,0.5295358649789029,0.519298245614035,0.025559302253216627,0.49736842105263157,0.5473684210526316,0.48340365682137837,0.0043304653497442105,0.479746835443038,0.48818565400843883,-0.025348946047760428,0.009984530446136399,-0.0361286234805566,-0.0164179544027989,0.11499228555939224,0.9072707775864685,-0.9103064275136654,0.8139536803285695,0.3081720904342687,1.4891655023691603,-1.3792733392685275,1.438268398303166,-0.06818632571609366,0.04332018196932282,-0.11561395677063047,-0.030702868752996437,0.010851557601199602,0.07473698988765742,-0.07397848087521197,0.06699669288173027,316.0,0.0,316,316,1896.0,0.0,1896,1896
dollar_shock,mlp,core6,10,0.006067164872901862,1.3411612725754446e-05,0.0060571651577710555,0.006082405610745965,0.004407867941058171,1.523344177666475e-05,0.004395702758324828,0.004424953440911298,0.4947257383966244,0.013954384552028418,0.47890295358649787,0.5052742616033755,0.5084388185654009,0.025117892193651167,0.479957805907173,0.5274261603375527,0.5368421052631579,0.0434808201101534,0.4868421052631579,0.5657894736842105,0.49789029535864976,0.007754420231851922,0.4892405063291139,0.5042194092827004,0.008104941836507212,0.015808533704409506,-0.007105937373913715,0.024450038363928048,0.8913969091444883,0.5965292929224923,0.28925095968787834,1.4821462359959117,1.6633322755313484,1.1559664483569831,0.48970806324718463,2.8007922600697244,-0.061530173563672484,0.019656868420872307,-0.08422755279661942,-0.05006228628644749,0.07687859371405163,0.05037880678270669,0.02372025236400077,0.1239191238632884,316.0,0.0,316,316,1896.0,0.0,1896,1896
dollar_shock,oursmain,core6,10,0.0060708686963304006,1.908637932654216e-05,0.006048861193914307,0.006082893355884414,0.00442677083800824,2.5022546396930073e-06,0.004425291409904946,0.004429659911882545,0.5066807313642757,0.017669432361817495,0.4941983122362869,0.5268987341772152,0.5319971870604782,0.03173919577045502,0.5116033755274262,0.5685654008438819,0.5403508771929825,0.06077371254627641,0.5052631578947369,0.6105263157894737,0.4988045007032349,0.006259580537686003,0.4940928270042194,0.5059071729957806,0.015403743616207078,0.019159739292564617,0.002102375489614153,0.037364581637896244,0.08916986351504301,0.7275599421854528,-0.4179933760022602,0.9227795479693913,0.14157465842402614,1.0557721729863934,-0.5652374742262138,1.3551942669037822,-0.08967017425781403,0.03584498584863549,-0.11278515718367998,-0.04837825521099148,0.0066573103554219415,0.06578509198095908,-0.03993382745693452,0.08191082124312743,316.0,0.0,316,316,1896.0,0.0,1896,1896
extreme_union,foundation_relational,core6,10,0.005991498136251262,2.9984941216880876e-06,0.0059894884416566594,0.0059949446659040544,0.00435707394933638,1.2574373740848234e-06,0.0043561849645556055,0.004358512639038375,0.5004257130693912,0.002979991485738634,0.49702000851426137,0.5025542784163474,0.5144032921810701,0.0016117236684547094,0.5125585355470413,0.5155385270327799,0.524113475177305,0.01831312245911396,0.5095744680851064,0.5446808510638298,0.4964949623953456,0.0056812096297489175,0.49135802469135803,0.5025968497232866,0.0033112459964005705,0.012998720675332738,-0.008311107841851025,0.017347835223683425,0.7045892943483878,0.1787946844926137,0.5085548276045633,0.8586904388638852,1.206211094074641,0.27021393060714444,0.8951368029856624,1.3827281672114675,-0.0706896707171533,0.02199888847551409,-0.09341019789508209,-0.049491504520119634,0.15354715080904194,0.034169477462666624,0.11560349750129717,0.1818871453904194,783.0,0.0,783,783,4698.0,0.0,4698,4698
extreme_union,gnn,core6,10,0.005994879585865008,9.79504762834561e-07,0.005994035395349127,0.005995953552552058,0.004357844823087628,1.6425449758022384e-06,0.004356248442284682,0.004359529935270614,0.4986519086135945,0.00024578555521055244,0.4985100042571307,0.4989357173265219,0.5078756917837378,0.007110810169642418,0.5014899957428693,0.5155385270327799,0.5074468085106383,0.006471023968402366,0.5031914893617021,0.5148936170212766,0.5009223783170144,0.0037465975066629294,0.49689229459344403,0.5042997020008514,0.014880487027719816,0.014219322182846206,2.7616082663662205e-05,0.02836772210563927,0.4531778314103301,0.5217196410717017,-0.1145226027913516,0.9116091088682493,0.7386573099282585,0.8632475681699663,-0.1694787312140755,1.5486228747942792,-0.09125860525356681,0.03361957852172906,-0.1282222289935362,-0.06250333486241288,0.094891665391818,0.11155569257464151,-0.025232501681102804,0.1952316697979768,783.0,0.0,783,783,4698.0,0.0,4698,4698
extreme_union,gru,core6,10,0.0059988427793179755,2.215202586980269e-06,0.005996290648741528,0.0060002674872714655,0.004362559879486073,2.9300571360410147e-06,0.004360194598813687,0.004365837590304635,0.4953171562366965,0.00695946476129064,0.4899957428693061,0.5031928480204342,0.5112813963388676,0.01175923994630322,0.4989357173265219,0.5223499361430396,0.5049645390070922,0.026065638958775963,0.4787234042553192,0.5308510638297872,0.49442315879097487,0.002298850574712616,0.49212430821626224,0.4967220093656875,-0.0009983340006652196,0.010340127730465836,-0.011661137895800984,0.008985669509765825,0.061078527610961775,0.14981819514918834,-0.10845652966724532,0.17566031228667572,0.09251997693645501,0.24045890418511526,-0.17485147891949318,0.29105062021644035,-0.12868596581195865,0.025683011365645596,-0.1547217621262007,-0.10337091125506959,0.012791265851850161,0.03197233836605934,-0.023205103560258067,0.037890609791020324,783.0,0.0,783,783,4698.0,0.0,4698,4698
extreme_union,lstm,core6,10,0.00600045587956977,1.3657705105746793e-05,0.005989833108220166,0.006015861840787708,0.0043657502697766375,7.663980201888058e-06,0.004359480012637554,0.00437429367895024,0.490066695047538,0.011103959222074453,0.477862920391656,0.4995742869306088,0.5046118915850717,0.013770573059694187,0.4887186036611324,0.5129842486164325,0.4985815602836879,0.025649845844007292,0.474468085106383,0.5255319148936171,0.48565346956151556,0.005616186490946097,0.4792677735206471,0.4898254576415496,-0.024708598483306504,0.012429194208617546,-0.03904681736415585,-0.01699499095365326,-0.026457615820378238,0.700125682223715,-0.8175919298412825,0.51317842677342,-0.017586681592282476,1.1226469364328058,-1.2785051548043447,0.8734480657901561,-0.11904783700576142,0.09003377376616298,-0.2229449073804517,-0.06391661517909597,-0.0023271550734686266,0.14732409027394702,-0.16822003612219305,0.11323908906865654,783.0,0.0,783,783,4698.0,0.0,4698,4698
