model,universe,lookback,seed,rmse,mae,hit_ratio,non_tiny_hit_ratio,extreme_hit_ratio,pairwise_hit,ic,long_short_sharpe,long_short_sortino,max_drawdown,cumulative_return,scenario,n_dates,n_currency_obs
oursmain,core6,10,123,0.005756377228579433,0.004149546354965929,0.5233560090702948,0.5428571428571428,0.5487528344671202,0.5036734693877551,0.021176163993990183,-0.2995999081484838,-0.4057256524351604,-0.16678009516158454,-0.06610646072090276,macro_shock_union,735,4410
oursmain,core6,10,123,0.006016927498355242,0.0043823248376566246,0.5227756492124308,0.5393784589186889,0.5457446808510639,0.5022562792677735,0.01608308041399005,-0.4954422800048554,-0.6705112999772723,-0.21544596736544008,-0.11785405089335654,extreme_union,783,4698
foundation_relational,core6,10,123,0.005437470015628576,0.003923712174707611,0.496645318694724,0.5120463555962184,0.5213414634146342,0.506312900274474,0.028236902949562395,1.0290075247359967,1.6180090754138334,-0.053997420549421804,0.27765191005232737,all_test,1093,6558
foundation_relational,core6,10,123,0.009948070151312091,0.00844949623033484,0.5103578154425612,0.5103578154425612,0.5211267605633803,0.5163841807909605,0.03567393058918483,2.2695245187417514,3.8913626122176455,-0.04292708930734079,0.15138574004231486,high_fx_vol,177,1062
foundation_relational,core6,10,123,0.0117249428059941,0.009370924675597329,0.5041152263374485,0.4897119341563786,0.4897959183673469,0.5209876543209877,0.06384479717813052,2.7910216169726083,4.973584966519135,-0.025232980304281227,0.11460229935255484,large_abs_move,81,486
foundation_relational,core6,10,123,0.009935661226689587,0.007407983069592016,0.5116666666666667,0.51,0.5166666666666667,0.5333333333333333,0.084,2.769360028141663,5.163979550101308,-0.058990440746129025,0.14484376197469828,cross_section_dispersion,100,600
foundation_relational,core6,10,123,0.00617387081658462,0.004338521003280806,0.5093818984547461,0.5386313465783664,0.5399449035812672,0.49403973509933774,0.004809351807955373,0.56785703193094,1.0921658897530584,-0.03969972166032676,0.04700756191459732,risk_off,302,1812
foundation_relational,core6,10,123,0.006054483132547616,0.004400683204857638,0.49841772151898733,0.5232067510548524,0.55,0.5090717299578059,0.03413947339014069,1.1746714024379525,1.8788694078345183,-0.06296852925970597,0.10205097955758902,dollar_shock,316,1896
foundation_relational,core6,10,123,0.005904185957598034,0.004227193072144576,0.4972144846796657,0.5088207985143919,0.5243619489559165,0.5060352831940576,0.017906884202148837,1.3016698387847885,2.088879294537705,-0.04167217129361234,0.12360899392979263,commodity_shock,359,2154
foundation_relational,core6,10,123,0.006283901021066668,0.004431803015695707,0.5079365079365079,0.5317460317460317,0.5346534653465347,0.5275132275132275,0.06762102316383721,2.847519328132221,4.924325940307189,-0.03303818269023395,0.2242626725453647,yield_shock,252,1512
