target_date,gross_return,turnover,transaction_cost,net_return,wealth,tc_bps,model,universe,lookback,seed
2023-12-19,-0.005234304000623524,0.5,0.0,-0.005234304000623524,1.146513596316675,0.0,gnn,core6,10,42
2023-12-20,-0.0006494055269286036,1.0,0.0,-0.0006494055269286036,1.1457690440505282,0.0,gnn,core6,10,42
2023-12-21,0.0016265249578282237,0.0,0.0,0.0016265249578282237,1.1476326659965834,0.0,gnn,core6,10,42
2023-12-22,-0.0009347932646051049,0.5,0.0,-0.0009347932646051049,1.146559866710169,0.0,gnn,core6,10,42
2023-12-25,-0.0007316666888073087,0.0,0.0,-0.0007316666888073087,1.1457209670489739,0.0,gnn,core6,10,42
2023-12-26,0.0078043210378382355,0.0,0.0,0.0078043210378382355,1.1546625412956066,0.0,gnn,core6,10,42
2023-12-27,-0.001390852965414524,0.0,0.0,-0.001390852965414524,1.1530565754759925,0.0,gnn,core6,10,42
2023-12-28,0.002518757537472993,0.0,0.0,0.002518757537472993,1.1559608454166055,0.0,gnn,core6,10,42
2023-12-29,-0.0013431562001642305,1.0,0.0,-0.0013431562001642305,1.154408209439937,0.0,gnn,core6,10,42
2024-01-01,0.0004726923070847988,1.0,0.0,0.0004726923070847988,1.1549538893197748,0.0,gnn,core6,10,42
2024-01-02,0.008124293177388608,0.5,0.0,0.008124293177388608,1.1643370733229739,0.0,gnn,core6,10,42
2024-01-03,0.0015053903334774077,1.0,0.0,0.0015053903334774077,1.1660898550980636,0.0,gnn,core6,10,42
2024-01-04,2.9247079510241747e-05,1.0,0.0,2.9247079510241747e-05,1.1661239598207718,0.0,gnn,core6,10,42
2024-01-05,4.941862425766885e-05,0.0,0.0,4.941862425766885e-05,1.16618158806258,0.0,gnn,core6,10,42
2024-01-08,-0.0008106559398584068,0.5,0.0,-0.0008106559398584068,1.1652362160312637,0.0,gnn,core6,10,42
2024-01-09,0.0017814161255955696,0.5,0.0,0.0017814161255955696,1.1673119866166297,0.0,gnn,core6,10,42
2024-01-10,0.0005530652997549623,0.5,0.0,0.0005530652997549623,1.1679575863704155,0.0,gnn,core6,10,42
2024-01-11,-0.005561956000747159,0.0,0.0,-0.005561956000747159,1.1614614576642843,0.0,gnn,core6,10,42
2024-01-12,0.0006607671966776252,0.0,0.0,0.0006607671966776252,1.1622289132957142,0.0,gnn,core6,10,42
2024-01-15,0.0059396750293672085,0.0,0.0,0.0059396750293672085,1.1691321753504254,0.0,gnn,core6,10,42
2024-01-16,0.005937355192145333,0.0,0.0,0.005937355192145333,1.1760737283420464,0.0,gnn,core6,10,42
2024-01-17,-0.0043481199609232135,0.0,0.0,-0.0043481199609232135,1.1709600186883249,0.0,gnn,core6,10,42
2024-01-18,-0.0009430885202164063,0.0,0.0,-0.0009430885202164063,1.1698556997370675,0.0,gnn,core6,10,42
2024-01-19,-0.001232364767929539,0.0,0.0,-0.001232364767929539,1.1684140107891499,0.0,gnn,core6,10,42
2024-01-22,0.0008079730323515832,0.5,0.0,0.0008079730323515832,1.1693580578004892,0.0,gnn,core6,10,42
2024-01-23,0.0011828604619950056,0.0,0.0,0.0011828604619950056,1.1707412452129766,0.0,gnn,core6,10,42
2024-01-24,-0.0018757241778075695,0.5,0.0,-0.0018757241778075695,1.1685452575533741,0.0,gnn,core6,10,42
2024-01-25,0.0012435297830961645,0.5,0.0,0.0012435297830961645,1.1699983783840375,0.0,gnn,core6,10,42
2024-01-26,-0.0016724303713999689,0.5,0.0,-0.0016724303713999689,1.1680416375615394,0.0,gnn,core6,10,42
2024-01-29,0.0007213954377220944,0.5,0.0,0.0007213954377220944,1.1688842574699458,0.0,gnn,core6,10,42
2024-01-30,0.0012822580465581268,0.5,0.0,0.0012822580465581268,1.1703830687145818,0.0,gnn,core6,10,42
2024-01-31,-6.399140693247318e-05,0.5,0.0,-6.399140693247318e-05,1.1703081742553647,0.0,gnn,core6,10,42
2024-02-01,-0.0031545041128993034,0.5,0.0,-0.0031545041128993034,1.1666164323063164,0.0,gnn,core6,10,42
2024-02-02,0.00202537071891129,0.5,0.0,0.00202537071891129,1.1689792630685103,0.0,gnn,core6,10,42
2024-02-05,-0.0019480999326333404,1.0,0.0,-0.0019480999326333404,1.1667019746448768,0.0,gnn,core6,10,42
2024-02-06,-0.0012575530272442847,1.0,0.0,-0.0012575530272442847,1.1652347850447702,0.0,gnn,core6,10,42
2024-02-07,0.0027206330123590305,1.0,0.0,0.0027206330123590305,1.168404961268112,0.0,gnn,core6,10,42
2024-02-08,-0.0015161704941419885,0.0,0.0,-0.0015161704941419885,1.166633460140628,0.0,gnn,core6,10,42
2024-02-09,-0.00391788333945442,0.0,0.0,-0.00391788333945442,1.162062726343893,0.0,gnn,core6,10,42
2024-02-12,-0.003980858018621802,0.5,0.0,-0.003980858018621802,1.1574367196215853,0.0,gnn,core6,10,42
2024-02-13,0.0007887280080467463,0.5,0.0,0.0007887280080467463,1.1583496223798926,0.0,gnn,core6,10,42
2024-02-14,0.0008130866335704923,1.0,0.0,0.0008130866335704923,1.159291460974851,0.0,gnn,core6,10,42
2024-02-15,3.984797513112426e-05,1.5,0.0,3.984797513112426e-05,1.1593376563921576,0.0,gnn,core6,10,42
2024-02-16,-0.00010290296631865203,0.0,0.0,-0.00010290296631865203,1.1592183571083499,0.0,gnn,core6,10,42
2024-02-19,0.002061676059383899,0.5,0.0,0.002061676059383899,1.1616082898427984,0.0,gnn,core6,10,42
