date,D_F,VIX,Delta_US2Y_abs,Oil_return_abs,ShockScore,is_large_update,is_stress_day,rolling_update_ratio_20d,rolling_stress_ratio_20d
2024-11-18,0.6751750111579895,15.579999923706056,0.019999999999999574,0.0314316815457234,0.8100590273800329,0,0,0.1,0.3
2024-11-19,0.7218145728111267,16.350000381469727,0.020000000000000462,0.0033200423491468456,0.5356027669843041,0,0,0.1,0.3
2024-11-20,0.7186897397041321,17.15999984741211,0.040000000000000036,0.00752204667821843,0.5033409609525166,0,0,0.1,0.3
2024-11-21,0.5985782742500305,16.8700008392334,0.03000000000000025,0.017702062836089993,0.6378065834062459,0,0,0.1,0.3
2024-11-22,0.5674235820770264,15.239999771118164,0.03000000000000025,0.01613165616169976,1.0500494246589085,0,0,0.1,0.3
2024-11-25,0.3754763901233673,14.600000381469728,0.16000000000000014,0.032817831932857366,1.7107242056738332,0,1,0.05,0.3
2024-11-26,0.7979437112808228,14.100000381469728,0.0,0.0024690419843933498,0.3926592443895149,0,0,0.05,0.3
2024-11-27,0.5294543504714966,14.100000381469728,0.019999999999999574,0.0007272590783866661,0.6890498553166736,0,0,0.05,0.3
2024-11-28,0.47235772013664246,14.100000381469728,0.0,0.0,0.05548925364731075,0,0,0.0,0.3
2024-11-29,0.6771825551986694,13.510000228881836,0.0600000000000005,0.010532590263325758,0.8138821436460012,0,1,0.0,0.35
2024-12-01,0.7387101650238037,13.510000228881836,0.0,0.0,0.0,0,0,0.0,0.35
2024-12-02,0.6340771317481995,13.34000015258789,0.040000000000000036,0.0014694855729144862,0.47121016902116936,0,0,0.0,0.35
2024-12-03,0.7698914408683777,13.300000190734863,0.0,0.02666057579336023,0.5812289987360716,0,0,0.0,0.3
2024-12-04,0.767518937587738,13.449999809265137,0.040000000000000036,0.020220236738356157,0.6028624960566183,0,0,0.0,0.25
2024-12-05,0.6082346439361572,13.539999961853027,0.020000000000000462,0.0035077185456158233,0.28033245121979306,0,0,0.0,0.25
2024-12-06,0.6153536438941956,12.770000457763672,0.05000000000000071,0.016236609142369574,0.6354393820364316,0,0,0.0,0.25
2024-12-09,0.6461986303329468,14.1899995803833,0.03000000000000025,0.017260969981989227,0.8815961193496337,0,0,0.0,0.2
