model,display_name,lookback,seed,regime,n_obs,rmse,mae,hit_ccy,hit_pair,extreme_rmse,extreme_hit
MLP,MLP,20,42,all_test,1104,0.005780526299413178,0.0041088756480337696,0.584873188405797,0.5516963109354414,0.012914528741766997,0.730072463768116
MLP,MLP,20,42,composite_macro_shock_top10,103,0.006494014166132563,0.004601428751689171,0.5300970873786408,0.5011473962930274,0.014650025773626667,0.6699029126213593
MLP,MLP,20,42,normal,668,0.004904312904562074,0.00366960050910683,0.5833832335329341,0.5543821448013064,0.01000893062586651,0.7170658682634731
MLP,MLP,20,123,FX_move_top10,89,0.011389678693761361,0.008034173035569468,0.6741573033707865,0.6122574055158325,0.025837652211098194,0.8202247191011236
MLP,MLP,20,123,Oil_shock_top10,108,0.007886704148664561,0.004901528005164992,0.5564814814814815,0.5405723905723906,0.020393983440962243,0.6481481481481481
MLP,MLP,20,123,US2Y_shock_top10,322,0.005885011972677968,0.004232237699327202,0.5975155279503106,0.548334274421231,0.013210023020483757,0.7049689440993789
MLP,MLP,20,123,VIX_top10,82,0.007490092442715658,0.005347317799688182,0.5719512195121951,0.5556541019955654,0.01717005340372549,0.7317073170731707
MLP,MLP,20,123,all_test,1104,0.0057471858260781696,0.004069199191466053,0.5840579710144927,0.5540349143610013,0.013112783262628701,0.7309782608695652
MLP,MLP,20,123,composite_macro_shock_top10,103,0.006443813336386725,0.004540709666018955,0.5320388349514563,0.5050308914386584,0.01510200902835848,0.6310679611650486
MLP,MLP,20,123,normal,668,0.004846210667448089,0.003625399520975096,0.5775449101796407,0.5528307022318998,0.010123165479471969,0.7440119760479041
MLP,MLP,20,456,FX_move_top10,89,0.01117494539392334,0.007774691922619812,0.6696629213483146,0.610214504596527,0.025792213556189,0.7415730337078652
MLP,MLP,20,456,Oil_shock_top10,108,0.007660057757289238,0.004708974239163463,0.5546296296296296,0.567003367003367,0.019740829627330498,0.6759259259259259
MLP,MLP,20,456,US2Y_shock_top10,322,0.005825737349222403,0.00420128950964365,0.6006211180124224,0.554884246188594,0.013028490125807257,0.7080745341614907
MLP,MLP,20,456,VIX_top10,82,0.007514195039188915,0.005517813509856374,0.5378048780487805,0.5525498891352549,0.016922399311220877,0.6341463414634146
MLP,MLP,20,456,all_test,1104,0.005654860365019881,0.003996499425935891,0.5959239130434782,0.5591567852437418,0.01295527338824502,0.7246376811594203
MLP,MLP,20,456,composite_macro_shock_top10,103,0.006369492686934268,0.0045218387282452525,0.537864077669903,0.5345101500441306,0.014752332210382893,0.6213592233009708
MLP,MLP,20,456,normal,668,0.004728489968367839,0.003540109620242636,0.5971556886227545,0.5578660860097986,0.00989940361426564,0.7634730538922155
NoGraph,NoGraphFX,20,42,FX_move_top10,89,0.010880159592909765,0.007727457917609387,0.6775280898876405,0.6312563840653729,0.024333336826702513,0.7865168539325843
NoGraph,NoGraphFX,20,42,Oil_shock_top10,108,0.007216169149503473,0.004533033193895251,0.575925925925926,0.5725589225589226,0.018362302893844804,0.6666666666666666
NoGraph,NoGraphFX,20,42,US2Y_shock_top10,322,0.0055783174705755475,0.003958208378507892,0.6279503105590062,0.5782608695652174,0.012907429196581627,0.7515527950310559
NoGraph,NoGraphFX,20,42,VIX_top10,82,0.007113613094289383,0.005086949499798543,0.6024390243902439,0.5760532150776053,0.01603360149974325,0.6707317073170732
NoGraph,NoGraphFX,20,42,all_test,1104,0.005444911932655761,0.003830971865956963,0.6153079710144927,0.5812417654808959,0.012737500620874384,0.7554347826086957
NoGraph,NoGraphFX,20,42,composite_macro_shock_top10,103,0.006008701510636196,0.004200758178028514,0.596116504854369,0.5542806707855251,0.013845459668988225,0.6990291262135923
NoGraph,NoGraphFX,20,42,normal,668,0.004640554270974215,0.003434290951077695,0.6089820359281437,0.5794501905280348,0.010281986805689857,0.7410179640718563
NoGraph,NoGraphFX,20,123,FX_move_top10,89,0.010924087879985576,0.007738081873352447,0.6797752808988764,0.6324821246169561,0.02460890319300539,0.7865168539325843
NoGraph,NoGraphFX,20,123,Oil_shock_top10,108,0.007216697298800978,0.004516368051542941,0.5916666666666667,0.578956228956229,0.018458435349578518,0.7037037037037037
NoGraph,NoGraphFX,20,123,US2Y_shock_top10,322,0.005571979857686212,0.003965123852472683,0.6251552795031056,0.5800112930547713,0.012865900228280937,0.7608695652173914
NoGraph,NoGraphFX,20,123,VIX_top10,82,0.007129410092618025,0.005093244436157852,0.6024390243902439,0.5840354767184035,0.016067745544029455,0.6829268292682927
NoGraph,NoGraphFX,20,123,all_test,1104,0.005454557148962962,0.003832280844129652,0.6142210144927536,0.5807806324110671,0.012768821345687189,0.75
NoGraph,NoGraphFX,20,123,composite_macro_shock_top10,103,0.0060333963504961285,0.004225741324234971,0.5932038834951456,0.5528684907325684,0.013845941576882542,0.6893203883495146
NoGraph,NoGraphFX,20,123,normal,668,0.004638013502888167,0.0034290028884704483,0.6067365269461078,0.5782253674469243,0.010275161697500637,0.7335329341317365
NoGraph,NoGraphFX,20,456,FX_move_top10,89,0.010891044903024024,0.007721644186295542,0.6865168539325842,0.6218590398365679,0.024490447127057113,0.7865168539325843
NoGraph,NoGraphFX,20,456,Oil_shock_top10,108,0.007167255793893574,0.004480740928210657,0.5981481481481481,0.5826599326599327,0.01834031371348859,0.6851851851851852
NoGraph,NoGraphFX,20,456,US2Y_shock_top10,322,0.005573280988530706,0.0039608779172514,0.6304347826086957,0.575776397515528,0.012890665374469179,0.7670807453416149
NoGraph,NoGraphFX,20,456,VIX_top10,82,0.007056032226403137,0.005037639896592026,0.6158536585365854,0.5818181818181818,0.015949182489090403,0.7317073170731707
NoGraph,NoGraphFX,20,456,all_test,1104,0.0054351252143090695,0.003817496199252137,0.6189311594202899,0.5802865612648221,0.012736301952555443,0.7617753623188406
NoGraph,NoGraphFX,20,456,composite_macro_shock_top10,103,0.005934245524553657,0.004153286968450577,0.6009708737864078,0.5597528684907326,0.013701533325207082,0.7475728155339806
NoGraph,NoGraphFX,20,456,normal,668,0.004625115980896529,0.003417521563416049,0.6100299401197605,0.5783070223189983,0.010251594317109054,0.75
NoMacro,NoMacroFX,20,42,FX_move_top10,89,0.011685115497989246,0.008547344195725028,0.6426966292134831,0.590194075587334,0.0254230089022835,0.7865168539325843
NoMacro,NoMacroFX,20,42,Oil_shock_top10,108,0.007521745684910233,0.004821321308211871,0.5222222222222223,0.5281144781144781,0.018671207227567845,0.6944444444444444
